Model,Original Feature Count,Transformed Feature Count,Expected Input Features,Top 10 Features
Dropout,12,12,tuition_up_to_date; scholarship_holder; age; gender; approved_sem1; grade_sem1; approved_sem2; grade_sem2; semester_improvement; academic_performance_index; semester_success_ratio; average_semester_grade,numeric__approved_sem2; numeric__semester_success_ratio; numeric__tuition_up_to_date; numeric__grade_sem2; numeric__approved_sem1; numeric__scholarship_holder; numeric__age; numeric__average_semester_grade; numeric__gender; numeric__academic_performance_index
Wellbeing,15,17,age; gender; exam_pressure; academic_performance; stress_level; anxiety_score; physical_activity; social_support; internet_usage; family_expectation; burnout_score; mental_health_index; lifestyle_score; stress_balance; financial_risk_index,numeric__burnout_score; numeric__mental_health_index; numeric__anxiety_score; numeric__family_expectation; categorical__gender_Male; numeric__internet_usage; categorical__gender_Female; numeric__exam_pressure; numeric__financial_risk_index; numeric__lifestyle_score
Depression,15,48,Gender; Age; Academic Pressure; CGPA; Study Satisfaction; Dietary Habits; Degree; Have you ever had suicidal thoughts ?; Work/Study Hours; Financial Stress; Family History of Mental Illness; sleep_hours; family_history; satisfaction_index; stress_pressure_ratio,categorical__Have you ever had suicidal thoughts ?_No; numeric__Academic Pressure; numeric__Financial Stress; numeric__satisfaction_index; categorical__Dietary Habits_Unhealthy; numeric__Work/Study Hours; numeric__Age; categorical__Dietary Habits_Healthy; numeric__Study Satisfaction; numeric__sleep_hours
