Model,Dataset,Samples,Original Features,Transformed Features,Accuracy,Precision,Recall,F1,ROC AUC
Dropout,uci_refined.csv,4405,12,12,0.753688989784336,0.6932836807584213,0.6660490529345248,0.6740813899821068,0.8634936512960468
Wellbeing,student_mental_health_burnout_1M.csv,1000000,15,17,0.99883,0.9982281264133542,0.9987273945035334,0.9984747965886672,0.9999949634640193
Depression,Student Depression Dataset.csv,27901,15,48,0.844472316789106,0.8415142018618884,0.8364329311046446,0.8386405363561993,0.9193498669909475
